"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"model.nlogox"
"E1-shock-decomposition"
"07/25/2026 15:08:26:337 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","fertilizer-shock","fuel-shock","panic-rate","government-intervention?","[step]","bullwhip-ratio-farmer","bullwhip-ratio-retailer","[food-security-index] of one-of governments","[demand] of one-of consumers"
"2","1","1","1","false","124","44.31337647845848","17.974533151364106","0.7701632049767323","51.102584497480365"
"2","1","1","1","false","125","44.621747536624056","18.017783619787497","0.6985427122425147","52.02523041893848"
"3","1","1","1","false","119","46.03542011375965","19.11604322213697","0.6215356408868403","54.580862414842976"
"2","1","1","1","false","126","44.61050821048827","18.157083352289128","0.6985907128781829","52.94591984475287"
"3","1","1","1","false","120","45.97089127260141","19.049684384718876","0.6215356408868403","42.49820224149447"
"2","1","1","1","false","127","44.73548073947327","18.175252476410407","0.6985907128781829","51.17611576429603"
"3","1","1","1","false","121","46.134675915467966","19.221032395292298","0.78442431201152","50.28822878942776"
"2","1","1","1","false","128","44.68020006292959","18.379056976285337","0.6769974923130261","42.25867060694138"
"3","1","1","1","false","122","46.20888860143658","19.233522506110194","0.78442431201152","50.75890220584669"
"2","1","1","1","false","129","44.25813237569869","18.306659923699343","0.7726094916499233","36.961661816809176"
"3","1","1","1","false","123","51.421950953851606","19.42466379987889","0.5339747100834761","69.38893756598273"
"2","1","1","1","false","130","44.35761392097917","18.45818959247336","0.8251937256611446","48.84778204806667"
"3","1","1","1","false","124","51.40532605690664","19.52174179682519","0.5339747100834761","43.61334800919936"
"2","1","1","1","false","131","48.73293006990458","18.93852385682173","0.5216866990407255","59.16861725965758"
"2","1","1","1","false","132","45.63385210041227","17.827691630360867","0.5216866990407255","19.385151107897126"
"3","1","1","1","false","125","50.70503533905254","19.355458189537107","0.5339747100834761","35.847436599544"
"2","1","1","1","false","133","43.556119740646636","17.10342898516617","0.5216866990407255","75.43173509852215"
"3","1","1","1","false","126","50.62313567853452","19.66289115221349","0.5677376581919147","57.72157537621769"
"2","1","1","1","false","134","43.481525993026864","17.434847700578516","0.5327956759581906","41.43283250035513"
"3","1","1","1","false","127","50.676670077843625","19.627998831832894","0.5877782444097552","45.05950843728094"
"2","1","1","1","false","135","43.46551799469977","17.39832437461659","0.5122406981060865","55.00583701269377"
"3","1","1","1","false","128","51.340556966250446","19.50449244356805","0.5877782444097552","63.47602422305588"
"2","1","1","1","false","136","45.817272797549826","17.524230165490454","0.5122406981060865","46.64401279456871"
"3","1","1","1","false","129","50.57443756823435","19.15432979122693","0.5709094879396","35.07300027244797"
"2","1","1","1","false","137","45.80795788286994","17.493281586698984","0.5122406981060865","42.936843378657954"
"3","1","1","1","false","130","50.13470666799901","18.967144893289166","0.5709094879396","37.790566223386634"
"2","1","1","1","false","138","45.83712815404794","17.58824607883681","0.5122406981060865","43.97249579001088"
"3","1","1","1","false","131","50.28559886750328","19.12092279557705","0.5079244294972804","49.42610911585004"
"2","1","1","1","false","139","45.47183521949901","17.415300822237082","0.5029977304092738","61.40603933355642"
"3","1","1","1","false","132","49.861239962318045","19.031485959128307","0.7579244294972804","37.81534832412484"
"2","1","1","1","false","140","45.34845840179824","17.455461674937467","0.7529977304092738","40.58917263517779"
"3","1","1","1","false","133","52.187684656248535","19.104180980879345","0.5198173491819867","39.71942637922474"
"2","1","1","1","false","141","46.27015645175103","17.456447235249595","0.6192179329434294","56.29155664623218"
"3","1","1","1","false","134","51.19027205684486","18.734009194753177","0.5198173491819867","32.65014358468333"
"2","1","1","1","false","142","46.30534110835551","17.491177471632213","0.6192179329434294","44.23282051300747"
"2","1","1","1","false","143","44.586602460833056","16.930333073157342","0.5105139070285984","73.16191842522639"
"3","1","1","1","false","135","51.24156469414506","18.84329174905875","0.5198173491819867","54.70282431121769"
