"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"model.nlogox"
"E2-intervention-returns-panic"
"07/25/2026 15:55:12:733 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","government-intervention?","rho","panic-rate","fertilizer-shock","fuel-shock","[step]","bullwhip-ratio-farmer","bullwhip-ratio-retailer","[food-security-index] of one-of governments"
"3","true","0","1","0.627","0.75","112","25.20074394959166","8.79494145504974","0.3357766029838697"
"3","true","0","1","0.627","0.75","113","25.4171404008424","8.796528061323476","0.25500745380480333"
"3","true","0","1","0.627","0.75","114","25.012203759353984","8.420923544544836","0.23512500000000003"
"3","true","0","1","0.627","0.75","115","24.199195128883478","8.103589190832748","0.23512500000000003"
"3","true","0","1","0.627","0.75","116","24.33870873569352","8.075042667537467","0.23512500000000003"
"3","true","0","1","0.627","0.75","117","24.540945238944015","8.073908036984223","0.3185893207605155"
"2","true","0","1","0.627","0.75","105","41.92720519880605","10.741888274802134","0.33558116761067325"
"3","true","0","1","0.627","0.75","118","23.856063440971813","7.970589934193979","0.23512500000000003"
"3","true","0","1","0.627","0.75","119","24.101787869056313","7.910019340207315","0.23512500000000003"
"2","true","0","1","0.627","0.75","106","42.110341484640294","10.74702134014918","0.2610901517315016"
"2","true","0","1","0.627","0.75","107","42.756999114381436","10.779647356855175","0.23512500000000003"
"2","true","0","1","0.627","0.75","108","42.75473952543956","10.841121960967698","0.23512500000000003"
"2","true","0","1","0.627","0.75","109","42.986256579945824","10.843323992828164","0.23512500000000003"
"2","true","0","1","0.627","0.75","110","41.36269982132825","10.388488496589575","0.3191868584448141"
"3","true","0","1","0.627","0.75","120","24.1787310717506","8.049204300833475","0.23512500000000003"
"2","true","0","1","0.627","0.75","111","41.09423009724871","10.32017123348135","0.3594175241645888"
"1","true","0","1","0.627","0.75","2","0","0","0.8212861188630842"
"2","true","0","1","0.627","0.75","112","41.61344612687994","10.339089605506071","0.26817120924479687"
"3","true","0","1","0.627","0.75","121","24.394819698216946","8.074019341238717","0.23512500000000003"
"2","true","0","1","0.627","0.75","113","41.80287193447596","10.305654429875213","0.23512500000000003"
"2","true","0","1","0.627","0.75","114","41.5421497862954","10.39820359221232","0.23512500000000003"
"2","true","0","1","0.627","0.75","115","41.41369229378834","10.365390894801276","0.23512500000000003"
"2","true","0","1","0.627","0.75","116","41.38245387344218","10.39801111545415","0.23512500000000003"
"3","true","0","1","0.627","0.75","122","23.856701661172217","7.890719699640914","0.23512500000000003"
"3","true","0","1","0.627","0.75","123","23.729620268568592","7.941025599949262","0.3149840674877683"
"3","true","0","1","0.627","0.75","124","23.83254900984909","7.884686028614878","0.23512500000000003"
"2","true","0","1","0.627","0.75","117","41.37561330662745","10.473593001413818","0.29515471695651757"
"2","true","0","1","0.627","0.75","118","41.019851695512315","10.38899369688431","0.23512500000000003"
"3","true","0","1","0.627","0.75","125","24.00356616057866","7.9132453965715595","0.23512500000000003"
"3","true","0","1","0.627","0.75","126","23.54138478674152","7.8785669565245","0.31677193129405706"
"2","true","0","1","0.627","0.75","119","41.037953039780284","10.408575389245533","0.23512500000000003"
"3","true","0","1","0.627","0.75","127","23.462497667845422","7.85599882209606","0.35524087412720645"
"1","true","0","1","0.627","0.75","3","0","0","0.8212861188630842"
"3","true","0","1","0.627","0.75","128","23.64579287700422","7.868593116699356","0.3739918255539752"
"3","true","0","1","0.627","0.75","129","24.29539677812345","7.89742925481442","0.25665260694785974"
"3","true","0","1","0.627","0.75","130","24.295884531624758","7.949770873436235","0.23512500000000003"
"3","true","0","1","0.627","0.75","131","24.250750369938128","7.94744025507109","0.23512500000000003"
"3","true","0","1","0.627","0.75","132","24.4290792256079","7.9759733824364885","0.23512500000000003"
"2","true","0","1","0.627","0.75","120","41.32715851479853","10.438273772325891","0.23512500000000003"
"2","true","0","1","0.627","0.75","121","41.387355651684516","10.476367445363348","0.2370741619138442"
"2","true","0","1","0.627","0.75","122","40.82502735726052","10.33852627291225","0.23512500000000003"
"3","true","0","1","0.627","0.75","133","24.394284574651785","8.003637038232542","0.23512500000000003"
"2","true","0","1","0.627","0.75","123","40.473721432860096","10.329815120952219","0.23512500000000003"
"2","true","0","1","0.627","0.75","124","40.622766715802335","10.360717530706607","0.25925355138722284"
"2","true","0","1","0.627","0.75","125","40.82033444908877","10.374263386354787","0.3073989362800582"
"2","true","0","1","0.627","0.75","126","41.37419595253904","10.400341941645518","0.23512500000000003"
"2","true","0","1","0.627","0.75","127","41.9837997876049","10.431645215449434","0.23512500000000003"
"2","true","0","1","0.627","0.75","128","40.70672204933172","10.108509391484118","0.23512500000000003"
"2","true","0","1","0.627","0.75","129","40.908072025480436","10.10948224170947","0.23512500000000003"
"2","true","0","1","0.627","0.75","130","40.860816563818844","10.059790579471876","0.35268750000000004"
